account_id,customer_id,branch_id,account_type,account_status,open_date,close_date,balance,currency,interest_rate,overdraft_limit,monthly_fee,account_number
ACC3176014,CUST000009,BR026,business acct,Suspended,2006-08-05,,USD 2873.27,,4.8009,,25,283797255211
ACC4355855,CUST000357,BR024,Money Market,Active,"February 16, 2010",,4467.68,USD,3.6083,1000,25,695789943420
ACC7244594,CUST001627,BR013,Savings,Open,13/09/2013,,,USD ,0.0285,,0,791796483031
ACC7052964,CUST000770,BR024,Checking,N/A,10-12-25,,1157.71,,3.8787,1000,0,373409515468
ACC2359890,,BR050,MONEY MARKET,N/A,23-09-2013,04-07-2020,727.05,usd,0.906,0,0,748238747779
ACC3320855,CUST001616,BR030,MONEY MARKET,open,06/06/2019,"September 16, 2021",1719.9,GBP,3.0528,250,25,494687271970
ACC8562174,,BR014,Checking,open,"July 03, 2001",,5416.18,$,5.1159,0,25,796599370633
ACC1083202,CUST004481,BR028,money mkt,active,13-03-2003,06/23/2015,5653.92,,3.3797,250,5,327526223278
ACC6712112,CUST002918,BR018,Business,Closed,2023-04-23,,4397.31,usd,2.5916,500,15,685332678975
ACC9272277,CUST002066,BR029,business,Inactive,23/03/2004,,1066.44,USD,3.117,250,12,568951791762
ACC2198830,CUST002991,BR041,MONEY MARKET,N/A,09-10-01,,3547.77,,0.9168,,12,237187828268
ACC9680710,CUST000152,BR006,Checking,N/A,NULL,,3382.3,EUR,0.0647,0,12,340484067646
ACC8821340,CUST004363,BR006,Money Market,Suspended,09/11/2015,,2648.66,,0.3379,,0,696722018979
ACC3023828,CUST000912,BR017,Money Market,Active,01-03-29,,,EUR,4.1697,500,25,773438155101
ACC5923701,CUST001843,BR045,Savings,Closed,05/20/2016,,2707.45,US Dollar,4.3789,250,0,787914395460
ACC7640035,,BR047,Business,open,13-06-28,24/11/2017,3333.84,,0.5961,500,0,405292582766
ACC7495471,CUST001437,BR031,MONEY MARKET,Inactive,,,5028.17,,4.6873,250,0,372463717082
ACC9835183,CUST001095,BR015,Money Market,Active,21-11-17,,464.46,usd,2.0842,,12,160784347376
ACC3349296,CUST001315,BR038,Savings,Open,20-08-2006,04-12-2021,5539.19,USD,3.4411,1000,5,015702434950
ACC1337340,CUST003756,BR017,Checking,CLOSED,2000-08-14,,584.2,usd,0.1639,USD 0.00,15,778771817046
ACC4587729,CUST000637,BR017,Business,Suspended,,2022-09-21,275.81,$,3.3829,USD 500.00,12,331809382858
ACC6436548,CUST003864,BR001,BUSINESS,N/A,99/99/9999,,"$14,932.11",EUR,1.6377,250,25,039879577090
ACC5933696,CUST002391,BR010,savings,Frozen,29-05-2003,,12585.46,USD,5.0061,1000,5,532225198295
ACC5603410,CUST004762,BR011,Saving Acct,Active,17-10-11,21-06-28,249.36,,3.3713,$100.00,15,918552433225
ACC8345191,CUST003633,BR022,MoneyMarket,ACTIVE,23-12-2009,26-09-2012,2342.58,GBP,4.324,100,25,990099856385
ACC1097927,CUST003706,BR004,money market,Open,09-06-10,,"824,38",usd,3.8594,100,25,759918791419
ACC5546070,CUST002285,BR009,money mkt,ACTIVE,2023-02-03,,2657.03,,4.9153,0,5,473650864587
ACC6844835,CUST000573,BR007,Money Market,Frozen,99/99/9999,,7092.0,usd,1.8968,500,15,779402429397
ACC4607163,CUST004382,BR030,CHK,Frozen,08-08-29,13/12/2013,,,1.817,1000,25,210279583550
ACC1011948,CUST002924,,Business,N/A,10/12/2000,,4023.25,$,2.7179,1000,10,288594896718
ACC6879508,CUST004350,BR046,Business,ACTIVE,07-12-2014,,1747.24,GBP,1.0999,250,0,595437789045
ACC9976826,CUST004745,BR022,MONEY MARKET,open,99/99/9999,05/20/2016,3698.56,usd,3.3849,100,0,742148114939
ACC2871398,CUST000536,BR034,money mkt,CLOSED,13/08/2000,,1495.87,GBP,0.4322,,5,964782696380
ACC8186043,CUST000973,BR037,Money Market,closed,20-03-2018,,9623.95,USD,0.8371,,5,847764727763
ACC8681972,CUST000672,BR046,Money Market,Active,19-03-2016,,8173.22,USD ,,250,12,910374867004
ACC8905951,CUST001671,BR007,Current Acct,Open,2009-10-04,,3267.88,USD,2.0302,500,12,462725737483
ACC2157693,CUST004115,BR042,Savings,N/A,02-04-15,,1570.98,EUR,0.3582,0,25,826017622226
ACC8154388,CUST004657,BR016,SAVINGS,N/A,NULL,,1389.1,US Dollar,2.9597,1000,12,733563082390
ACC2838520,CUST001747,BR040,Checkng,Active,"December 02, 2003","August 13, 2010",135.96,$,0.9871,500,25,787099312728
ACC2021060,CUST004411,BR008,Savings,active,01/02/2023,,-6767.39,EUR,1.1885,,5,178224816449
ACC2394940,CUST001049,BR042,svgs,Closed,21-03-2011,,2394.14,EUR,2.2306,0,25,669130323734
ACC6508184,CUST003227,BR043,Checking,Closed,13/06/2012,,"$1,572.96",GBP,4.7658,,10,873889965303
ACC4731219,CUST001501,BR024,Saving,N/A,23-03-01,,2547.9,EUR,,0,15,353492236115
ACC9667771,CUST004592,BR038,Checking,Closed,20/10/2017,,USD 6831.25,USD,2.5087,$250.00,0,194473061743
ACC6959033,CUST004920,BR041,Checking,closed,23-12-26,,532.36,usd,4.1696,1000,15,717104963817
ACC2590855,CUST001514,BR015,Checking,closed,99/99/9999,,7798.03,USD,4.7215,1000,5,048092863668
