customer_id,first_name,last_name,date_of_birth,gender,email,phone,address,city,state,zip_code,annual_income,occupation,credit_score,customer_since,branch_id,is_high_risk,kyc_status,nationality,referral_source
CUST000001,Manuel,Garcia,,F,marksteele@example.com,196-880-7154,85977 James Plaza,West Samuel,UT,64033,87385.0,Teacher,416,2002-12-06,BR037,1,Not Verified,British Virgin Islands,Branch
CUST000002,Anthony,  Mccoy,90-01-24,F,jennifercollins@example.org,166-163-1712,7378 Patrick Rapid Apt. 146,Sarahhaven,KY,00837,65160.75,,598,"June 18, 2001",BR015,1,VERIFIED,Finland,N/A
CUST000003,Jessica,monroe,02-03-1960,M,cgrimes@example.net,8552886753,766 Tyler Camp Apt. 895,Port Meganville,NC,60391,"$92,669.10",Designer,534 pts,2000-12-05,BR012,False,pending,American Samoa,Referral
CUST000004,Jennifer,Ortiz,07/06/1992,F,charlesharrington@example.com,6965158657,1172 Berger Cape,Lauraport,MI,49632,123306.04,Engineer,723,07/06/2002,BR004,FALSE,verified,Jersey,Walk-in
CUST000005,Dustin,Schmidt,79-04-22,F,georgemiller@example.com,(163) 749-2374,5946 Bryant Hollow,South Melissa,CT,31592,61804.63,Contractor,820,"February 14, 2006",BR033,1,Verified,Hong Kong,Walk-in
CUST000006,Ashley,Andrews,27-08-1992,F,andrew64@example.org,001.509.6743,104 Johnson Lakes,North Renee,MD,98474,61805.21,Lawyer,814 pts,14-11-22,BR001,TRUE,,Israel,Referral
CUST000007,  Gregory,Anderson,46-09-17,F,alyssa42@example.com,,5496 Rodriguez Fort,,NJ,03781,125272.45,Nurse,329,"January 23, 2002",BR034,True,Pending,Niger,Branch
CUST000008,  Nicole,Hoffman  ,"September 05, 1994",F,deborahreid@example.com,+10014468120,8692 Pena Village Suite 964,Lake Mitchellmouth,NV,31448,96860.22,Nurse,602,99/99/9999,BR026,1,Verified,Timor-Leste,Online
CUST000009,Michael,Pollard,05/27/1994,F,amy50@example.com,+15313713900,335 Kristina Ranch,West Micheleberg,DC,71308,53568.4,Accountant,674,"October 24, 2023",BR019,0,Not Verified,El Salvador,Branch
CUST000010,Lauren,Rodriguez,"August 17, 1952",m,  andersonmichael@example.org  ,+1-001-350-3240,5891 Gordon Ridges Apt. 847,North Yolandafurt,NE,90429,88989.6,Officer,775,2013-07-22,BR032,No,Not Verified,Botswana,N/A
CUST000011,Tracy,Browning,03/03/1952,F,lammarc@example.org,,18367 Robert Views Suite 661,Ronaldview,MN,20507,53780.38,Driver,425,2020-05-25,BR022,FALSE,Pending,Poland,Marketing
CUST000012,Sandra,Jones,NULL,M,daviscolin@example.net,+12286098851,1983 Diane Fork Apt. 585,Port Joshuabury,AS,56745,53699.46,Lawyer,365,"May 12, 2021",BR040,Yes,verified,Tanzania,Online
CUST000013,Ann,Saunders,45-06-16,Female,lynchdiane@example.net,000-000-0000,83667 Moore Inlet,Kimberlyshire,PA,11636,78468.68,Contractor,762,01/04/2010,BR028,0,verified,Turks and Caicos Islands,Referral
